        wavelength                  f_lam                  e_lam              telcor
3736.0999999999776 2.2141017303415854e-15 1.3770224927276236e-16                 1.0
3736.7999999999774 2.8535968538590975e-15  1.433030293372725e-16                 1.0
3737.4999999999773   3.00365445908402e-15  1.432874906065853e-16                 1.0
 3738.199999999977 3.1240840419714357e-15 1.6593211637959817e-16                 1.0
 3738.899999999977 3.0663979306339447e-15 1.6757807027624273e-16                 1.0
3739.5999999999767 3.0181305741812163e-15 1.6814477071059872e-16                 1.0
3740.2999999999765  3.335602885806013e-15 1.6828861669336337e-16                 1.0
3740.9999999999764  3.432351914595572e-15 1.6831475612303496e-16                 1.0
 3741.699999999976 3.4548543254844246e-15 1.6733300210421446e-16                 1.0
 3742.399999999976 3.1036960520245944e-15 1.6397683406762114e-16                 1.0
 3743.099999999976  3.435299724510406e-15 1.6476044281086554e-16                 1.0
3743.7999999999756 3.6573208620443566e-15 1.6299708489336535e-16                 1.0
3744.4999999999754  3.452326718071421e-15  1.639447622416188e-16                 1.0
3745.1999999999753  3.236162698983432e-15 1.6092276496859991e-16                 1.0
 3745.899999999975  3.355261346500423e-15  1.616642485151004e-16                 1.0
 3746.599999999975 3.2925640002083568e-15 1.6152458943906435e-16                 1.0
3747.2999999999747   3.36611404973101e-15 1.6133614177588533e-16                 1.0
3747.9999999999745  3.511808860124139e-15 1.6066489416844344e-16                 1.0
3748.6999999999744 3.4417576860426072e-15 1.5590259716605314e-16                 1.0
 3749.399999999974 3.2547313630440984e-15 1.5856800576024896e-16                 1.0
 3750.099999999974  3.352719833909441e-15 1.6011393531236028e-16                 1.0
 3750.799999999974 3.2821665164456816e-15 1.6039088321021287e-16                 1.0
3751.4999999999736 3.1796990730024588e-15 1.6110954350368442e-16                 1.0
3752.1999999999734  3.287325753109642e-15 1.6037224770513684e-16                 1.0
3752.8999999999733 3.2377332599370872e-15 1.6013985836062733e-16                 1.0
 3753.599999999973  3.175842598256067e-15 1.5761885240083212e-16                 1.0
 3754.299999999973   3.30674551436885e-15 1.6128754962193886e-16                 1.0
3754.9999999999727 3.3391565687075715e-15  1.611009115393745e-16                 1.0
