Species,Relative Flux
Ne3 3868,85.93354
HZeta,10.67491
Ne3 3968,26.08230
HEpsilon,16.13880
HDelta,26.08448
HGamma,47.30599
O3 4363,5.61346
He1 4471,0.54392
He2 4685,1.56149
Ar4 4711,0.61488
HBeta,100.00000
O3 4961,280.43392
O3 5007,836.70123
He1 5876,12.50207
HAlpha,278.80940
N2 6583,367.05320
He1 6678,3.51955
S2 6716,71.40487
H10,5.41256
He2 5411,0.14483
Ar4 4740,0.43469
Species,Relative Flux
O2 3726,149.59656
O2 3728,217.39756
O2 3729,217.39756
HEta,7.51942
Ne3 3868,83.83481
HZeta,10.76249
Ne3 3968,25.44531
HEpsilon,16.25299
HDelta,26.15675
HGamma,47.38244
O3 4363,6.21995
He1 4471,0.52510
He2 4685,4.28440
Ar4 4711,1.66468
HBeta,100.00000
O3 4961,303.71285
O3 5007,906.15092
He1 5876,12.03417
HAlpha,278.29737
N2 6583,289.11560
He1 6678,3.39773
S2 6716,57.74180
H10,5.46894
He2 5411,0.39886
Ar4 4740,1.17719
Species,Relative Flux
O2 3726,128.03177
O2 3728,188.97808
O2 3729,188.97808
HEta,7.58299
Ne3 3868,85.32307
HZeta,10.85003
Ne3 3968,25.89705
HEpsilon,16.38321
HDelta,26.22413
HGamma,47.51845
O3 4363,6.99190
He1 4471,0.50313
He2 4685,7.96075
Ar4 4711,2.71508
HBeta,100.00000
O3 4961,320.93041
O3 5007,957.52014
He1 5876,11.51943
HAlpha,277.62280
N2 6583,254.10322
He1 6678,3.25365
S2 6716,49.82719
H10,5.51522
He2 5411,0.74541
Ar4 4740,1.92350
Species,Relative Flux
O2 3726,128.03177
O2 3728,188.97808
O2 3729,188.97808
HEta,7.58299
Ne3 3868,85.32307
HZeta,10.85003
Ne3 3968,25.89705
HEpsilon,16.38321
HDelta,26.22413
HGamma,47.51845
O3 4363,6.99190
He1 4471,0.50313
He2 4685,7.96075
Ar4 4711,2.71508
HBeta,100.00000
O3 4961,320.93041
O3 5007,957.52014
He1 5876,11.51943
HAlpha,277.62280
N2 6583,254.10322
He1 6678,3.25365
S2 6716,49.82719
H10,5.51522
He2 5411,0.74541
Ar4 4740,1.92350
Species,Relative Flux
O2 3726,56.40086
O2 3728,83.16954
O2 3729,83.16954
HEta,7.65836
Ne3 3868,99.71201
HZeta,10.96756
Ne3 3968,30.26439
HEpsilon,16.58597
HDelta,26.29199
HGamma,47.81107
O3 4363,10.57493
He1 4471,0.42154
He2 4685,23.01892
Ar4 4711,7.39089
HBeta,100.00000
O3 4961,401.87198
O3 5007,1199.01547
He1 5876,9.64059
HAlpha,275.74610
N2 6583,102.28982
He1 6678,2.72021
S2 6716,19.96230
H10,5.56360
He2 5411,2.17372
Ar4 4740,5.26903
Species,Relative Flux
O2 3726,104.78987
O2 3728,154.63141
O2 3729,154.63141
HEta,7.60828
Ne3 3868,90.11008
HZeta,10.88871
Ne3 3968,27.34999
HEpsilon,16.44791
HDelta,26.25304
HGamma,47.60771
O3 4363,8.14006
He1 4471,0.48178
He2 4685,11.54697
Ar4 4711,3.91233
HBeta,100.00000
O3 4961,352.46306
O3 5007,1051.59789
He1 5876,11.02645
HAlpha,277.07602
N2 6583,202.81845
He1 6678,3.11335
S2 6716,39.33572
H10,5.53168
He2 5411,1.08400
Ar4 4740,2.77658
Species,Relative Flux
O2 3726,115.53421
O2 3728,170.50620
O2 3729,170.50620
HEta,7.59647
Ne3 3868,87.85925
HZeta,10.87062
Ne3 3968,26.66681
HEpsilon,16.41725
HDelta,26.24039
HGamma,47.56626
O3 4363,7.59892
He1 4471,0.49214
He2 4685,9.76029
Ar4 4711,3.32886
HBeta,100.00000
O3 4961,338.22395
O3 5007,1009.11853
He1 5876,11.26543
HAlpha,277.34292
N2 6583,226.19257
He1 6678,3.18133
S2 6716,44.03760
H10,5.52392
He2 5411,0.91544
Ar4 4740,2.36053
Species,Relative Flux
O2 3726,34.27079
O2 3728,50.41982
O2 3729,50.41982
HEta,7.28068
Ne3 3868,38.36702
HZeta,10.42843
Ne3 3968,11.64504
HEpsilon,15.76606
HDelta,25.08757
HGamma,47.78053
O3 4363,9.42651
He1 4471,0.43794
He2 4685,12.01503
Ar4 4711,1.42461
HBeta,100.00000
O3 4961,126.76214
O3 5007,378.20436
He1 5876,9.90202
HAlpha,283.23210
N2 6583,41.85108
He1 6678,2.77709
S2 6716,7.70583
H10,5.28805
He2 5411,1.14685
Ar4 4740,1.05361
Species,Relative Flux
O2 3726,98.67784
O2 3728,145.80548
O2 3729,145.80548
HEta,7.57676
Ne3 3868,70.64725
HZeta,10.83839
Ne3 3968,21.44271
HEpsilon,16.36468
HDelta,26.18633
HGamma,47.42423
O3 4363,3.99720
He1 4471,0.50039
He2 4685,9.10312
Ar4 4711,2.92514
HBeta,100.00000
O3 4961,295.01549
O3 5007,880.20068
He1 5876,11.52079
HAlpha,278.72227
N2 6583,240.77114
He1 6678,3.25919
S2 6716,48.39753
H10,5.51241
He2 5411,0.84936
Ar4 4740,2.05684
Species,Relative Flux
O2 3726,102.74323
O2 3728,151.41063
O2 3729,151.41063
HEta,7.57660
Ne3 3868,87.95962
HZeta,10.84662
Ne3 3968,26.69731
HEpsilon,16.38594
HDelta,26.14481
HGamma,47.71447
O3 4363,12.43868
He1 4471,0.47702
He2 4685,10.70044
Ar4 4711,3.10105
HBeta,100.00000
O3 4961,313.16084
O3 5007,934.33851
He1 5876,10.84823
HAlpha,277.13384
N2 6583,156.83995
He1 6678,3.05508
S2 6716,29.52211
H10,5.50681
He2 5411,1.00985
Ar4 4740,2.23161
Species,Relative Flux
O2 3726,115.53421
O2 3728,170.50620
O2 3729,170.50620
HEta,7.59647
Ne3 3868,87.85925
HZeta,10.87062
Ne3 3968,26.66681
HEpsilon,16.41725
HDelta,26.24039
HGamma,47.56626
O3 4363,7.59892
He1 4471,0.49214
He2 4685,9.76029
Ar4 4711,3.32886
HBeta,100.00000
O3 4961,338.22395
O3 5007,1009.11853
He1 5876,11.26543
HAlpha,277.34292
N2 6583,226.19257
He1 6678,3.18133
S2 6716,44.03760
H10,5.52392
He2 5411,0.91544
Ar4 4740,2.36053
Species,Relative Flux
O2 3726,2.52704
O2 3728,3.73742
O2 3729,3.73742
HEta,7.74537
Ne3 3868,119.64966
HZeta,11.07259
Ne3 3968,36.31600
HEpsilon,16.70882
HDelta,26.42480
HGamma,47.88642
O3 4363,15.77770
He1 4471,0.38170
He2 4685,29.17417
Ar4 4711,14.21584
HBeta,100.00000
O3 4961,509.17476
O3 5007,1519.15728
He1 5876,8.72108
HAlpha,274.80710
N2 6583,2.53620
He1 6678,2.45324
S2 6716,1.08731
H10,5.63345
He2 5411,2.67142
Ar4 4740,10.16406
Species,Relative Flux
O2 3726,66.27250
O2 3728,97.92177
O2 3729,97.92177
HEta,7.54716
Ne3 3868,94.82863
HZeta,10.80284
Ne3 3968,28.78217
HEpsilon,16.31576
HDelta,26.23082
HGamma,47.44790
O3 4363,9.38264
He1 4471,0.50244
He2 4685,6.26297
Ar4 4711,4.02363
HBeta,100.00000
O3 4961,415.61774
O3 5007,1240.02880
He1 5876,11.51526
HAlpha,277.38193
N2 6583,117.05600
He1 6678,3.24547
S2 6716,23.49385
H10,5.48866
He2 5411,0.58381
Ar4 4740,2.85154
Species,Relative Flux
O2 3726,232.37561
O2 3728,329.06837
O2 3729,329.06837
HEta,7.43276
Ne3 3868,83.41349
HZeta,10.65517
Ne3 3968,25.31755
HEpsilon,16.11364
HDelta,26.06732
HGamma,47.28740
O3 4363,4.67316
He1 4471,0.55149
He2 4685,1.04445
Ar4 4711,0.30330
HBeta,100.00000
O3 4961,240.49726
O3 5007,717.54035
He1 5876,12.65903
HAlpha,279.06425
N2 6583,441.57192
He1 6678,3.57021
S2 6716,86.94642
H10,5.39976
He2 5411,0.09572
Ar4 4740,0.21415
Species,Relative Flux
O2 3726,131.36077
O2 3728,191.01720
O2 3729,191.01720
HEta,7.47964
Ne3 3868,88.07158
HZeta,10.71506
Ne3 3968,26.73132
HEpsilon,16.19372
HDelta,26.13603
HGamma,47.34180
O3 4363,7.02765
He1 4471,0.52958
He2 4685,2.42716
Ar4 4711,1.35991
HBeta,100.00000
O3 4961,340.83470
O3 5007,1016.90737
He1 5876,12.14640
HAlpha,278.29057
N2 6583,240.99473
He1 6678,3.42505
S2 6716,48.95887
H10,5.43613
He2 5411,0.22578
Ar4 4740,0.96133
Species,Relative Flux
O2 3726,131.36077
O2 3728,191.01720
O2 3729,191.01720
HEta,7.47964
Ne3 3868,88.07158
HZeta,10.71506
Ne3 3968,26.73132
HEpsilon,16.19372
HDelta,26.13603
HGamma,47.34180
O3 4363,7.02765
He1 4471,0.52958
He2 4685,2.42716
Ar4 4711,1.35991
HBeta,100.00000
O3 4961,340.83470
O3 5007,1016.90737
He1 5876,12.14640
HAlpha,278.29057
N2 6583,240.99473
He1 6678,3.42505
S2 6716,48.95887
H10,5.43613
He2 5411,0.22578
Ar4 4740,0.96133
Species,Relative Flux
O2 3726,4.83701
O2 3728,7.16594
O2 3729,7.16594
HEta,7.70802
Ne3 3868,115.96426
HZeta,11.01670
Ne3 3968,35.19727
HEpsilon,16.61829
HDelta,26.39095
HGamma,47.76666
O3 4363,14.75963
He1 4471,0.41410
He2 4685,22.90942
Ar4 4711,12.00006
HBeta,100.00000
O3 4961,507.98058
O3 5007,1515.59435
He1 5876,9.46962
HAlpha,275.40503
N2 6583,6.27682
He1 6678,2.66486
S2 6716,2.20425
H10,5.60896
He2 5411,2.10456
Ar4 4740,8.56290
Species,Relative Flux
O2 3726,0.98849
O2 3728,1.47455
O2 3729,1.47455
HEta,7.87936
Ne3 3868,115.71744
HZeta,11.28776
Ne3 3968,35.12226
HEpsilon,17.09463
HDelta,26.43155
HGamma,48.47305
O3 4363,15.34182
He1 4471,0.23075
He2 4685,60.01483
Ar4 4711,18.90044
HBeta,100.00000
O3 4961,426.94610
O3 5007,1273.82706
He1 5876,5.24642
HAlpha,272.44084
N2 6583,0.51911
He1 6678,1.47478
S2 6716,0.26160
H10,5.71543
He2 5411,5.55311
Ar4 4740,13.56752
Species,Relative Flux
O2 3726,4.83701
O2 3728,7.16594
O2 3729,7.16594
HEta,7.70802
Ne3 3868,115.96426
HZeta,11.01670
Ne3 3968,35.19727
HEpsilon,16.61829
HDelta,26.39095
HGamma,47.76666
O3 4363,14.75963
He1 4471,0.41410
He2 4685,22.90942
Ar4 4711,12.00006
HBeta,100.00000
O3 4961,507.98058
O3 5007,1515.59435
He1 5876,9.46962
HAlpha,275.40503
N2 6583,6.27682
He1 6678,2.66486
S2 6716,2.20425
H10,5.60896
He2 5411,2.10456
Ar4 4740,8.56290
Species,Relative Flux
O2 3726,93.79257
O2 3728,140.27770
O2 3729,140.27770
HEta,7.54627
Ne3 3868,106.41212
HZeta,10.80642
Ne3 3968,32.29804
HEpsilon,16.32475
HDelta,26.22741
HGamma,47.48799
O3 4363,11.00538
He1 4471,0.48294
He2 4685,11.15395
Ar4 4711,6.78793
HBeta,100.00000
O3 4961,420.25316
O3 5007,1253.86070
He1 5876,11.04339
HAlpha,277.25561
N2 6583,179.32102
He1 6678,3.11634
S2 6716,36.62272
H10,5.48422
He2 5411,1.02299
Ar4 4740,4.83668
Species,Relative Flux
O2 3726,4.83701
O2 3728,7.16594
O2 3729,7.16594
HEta,7.70802
Ne3 3868,115.96426
HZeta,11.01670
Ne3 3968,35.19727
HEpsilon,16.61829
HDelta,26.39095
HGamma,47.76666
O3 4363,14.75963
He1 4471,0.41410
He2 4685,22.90942
Ar4 4711,12.00006
HBeta,100.00000
O3 4961,507.98058
O3 5007,1515.59435
He1 5876,9.46962
HAlpha,275.40503
N2 6583,6.27682
He1 6678,2.66486
S2 6716,2.20425
H10,5.60896
He2 5411,2.10456
Ar4 4740,8.56290
Species,Relative Flux
O2 3726,1.92642
O2 3728,2.81132
O2 3729,2.81132
HEta,7.76978
Ne3 3868,122.83947
HZeta,11.09715
Ne3 3968,37.28403
HEpsilon,16.73098
HDelta,26.43521
HGamma,47.89167
O3 4363,16.13322
He1 4471,0.38787
He2 4685,28.25210
Ar4 4711,13.88747
HBeta,100.00000
O3 4961,526.95019
O3 5007,1572.19146
He1 5876,8.86624
HAlpha,274.84062
N2 6583,1.37500
He1 6678,2.49148
S2 6716,0.66674
H10,5.65618
He2 5411,2.59719
Ar4 4740,9.91647
Species,Relative Flux
O2 3726,19.42117
O2 3728,28.97974
O2 3729,28.97974
HEta,7.66184
Ne3 3868,112.32902
HZeta,10.95717
Ne3 3968,34.09390
HEpsilon,16.53580
HDelta,26.35491
HGamma,47.68167
O3 4363,13.78246
He1 4471,0.43259
He2 4685,19.23065
Ar4 4711,10.44945
HBeta,100.00000
O3 4961,490.23502
O3 5007,1462.64997
He1 5876,9.89288
HAlpha,275.81927
N2 6583,32.24129
He1 6678,2.78652
S2 6716,6.99313
H10,5.57319
He2 5411,1.76595
Ar4 4740,7.45364
Species,Relative Flux
O2 3726,4.83701
O2 3728,7.16594
O2 3729,7.16594
HEta,7.70802
Ne3 3868,115.96426
HZeta,11.01670
Ne3 3968,35.19727
HEpsilon,16.61829
HDelta,26.39095
HGamma,47.76666
O3 4363,14.75963
He1 4471,0.41410
He2 4685,22.90942
Ar4 4711,12.00006
HBeta,100.00000
O3 4961,507.98058
O3 5007,1515.59435
He1 5876,9.46962
HAlpha,275.40503
N2 6583,6.27682
He1 6678,2.66486
S2 6716,2.20425
H10,5.60896
He2 5411,2.10456
