wavelength                  f_lam                  e_lam              telcor
  3880.99999999994  4.741432216686594e-16  1.798805635666868e-17                 1.0
  3881.69999999994  4.650493835194184e-16  1.761432591470698e-17                 1.0
3882.3999999999396  4.749772750461494e-16 1.7365799091751225e-17                 1.0
3883.0999999999394  4.720247827738675e-16 1.7510462602614207e-17                 1.0
3883.7999999999392  4.517015952322189e-16 1.7615998730944125e-17                 1.0
 3884.499999999939  4.609782980668687e-16 1.7810973537436804e-17                 1.0
 3885.199999999939  4.629878159755684e-16  1.756463299153979e-17                 1.0
3885.8999999999387  4.536134283792684e-16 1.7376178734511008e-17                 1.0
3886.5999999999385  4.561332155557179e-16 1.7256785355680322e-17                 1.0
3887.2999999999383  4.390022090539516e-16 1.7196267432661962e-17                 1.0
 3887.999999999938  4.578505497755127e-16 1.7670659397039006e-17                 1.0
 3888.699999999938  5.118247183229972e-16 1.8393158908654984e-17                 1.0
 3889.399999999938  5.567147860881814e-16 1.9171205667477973e-17                 1.0
3890.0999999999376  5.419622033342406e-16 1.9043641846297155e-17                 1.0
3890.7999999999374  4.773156283622509e-16  1.818214017099598e-17                 1.0
3891.4999999999372 4.2614039698358753e-16  1.773254346013571e-17                 1.0
 3892.199999999937  4.493746407934803e-16 1.7667360813691014e-17                 1.0
 3892.899999999937  4.400153559264024e-16 1.7469027141868547e-17                 1.0
3893.5999999999367  4.556474218409566e-16 1.7361078343971385e-17                 1.0
3894.2999999999365  4.401630682360985e-16  1.729352514789067e-17                 1.0
3894.9999999999363  4.452570362953181e-16  1.717434265385076e-17                 1.0
 3895.699999999936  4.530080252725697e-16  1.737658820430013e-17                 1.0
 3896.399999999936  4.450856605709068e-16  1.761749923759159e-17                 1.0
 3897.099999999936  4.379349820239652e-16 1.7807575734372728e-17                 1.0
3897.7999999999356  4.499811792589735e-16  1.780278608742803e-17                 1.0
3898.4999999999354 4.4032401301622583e-16 1.7484015953099337e-17                 1.0
3899.1999999999352  4.608443299845724e-16 1.7343808887582907e-17                 1.0
 3899.899999999935  4.714672470247846e-16 1.7104936280186023e-17                 1.0
 3900.599999999935  4.706758136760943e-16  1.746122450036052e-17                 1.0
3901.2999999999347  4.820240890745138e-16 1.7631348922022112e-17                 1.0
3901.9999999999345  4.701484627024255e-16  1.758818762485911e-17                 1.0
3902.6999999999343  4.760746413828768e-16 1.7488159909532107e-17                 1.0
 3903.399999999934  4.881977327468926e-16  1.740645493949683e-17                 1.0
 3904.099999999934  4.673359281660357e-16  1.743502534692133e-17                 1.0
 3904.799999999934  4.459279814828186e-16 1.7279500793007486e-17                 1.0
3905.4999999999336  4.601802715623725e-16 1.7132974764106943e-17                 1.0
3906.1999999999334  4.364252493666135e-16 1.6956102579933742e-17                 1.0
3906.8999999999332 4.4387563377354915e-16 1.7478431022743796e-17                 1.0
 3907.599999999933  4.525186973857229e-16 1.7710121244901165e-17                 1.0
 3908.299999999933   4.60765842073925e-16  1.782085075245193e-17                 1.0
3908.9999999999327  4.655715565043519e-16  1.788971310535185e-17                 1.0
3909.6999999999325  4.511808432054892e-16 1.7456181154118938e-17                 1.0
3910.3999999999323  4.523835192494584e-16 1.7440499831267385e-17                 1.0
 3911.099999999932  4.562102775114659e-16 1.7320761954188183e-17                 1.0
 3911.799999999932  4.734988005553438e-16 1.7669561732251278e-17                 1.0
 3912.499999999932  4.806427800022731e-16  1.787872592610511e-17                 1.0
3913.1999999999316   4.84294572613604e-16  1.809245014500811e-17                 1.0
3913.8999999999314  4.928245300580961e-16 1.8176320385288372e-17                 1.0
3914.5999999999312   4.75059992496757e-16 1.7764550354533922e-17                 1.0
